File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Program.cs,27,19,7,0,2,0,6,20,0,0
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Collections\Grid.cs,143,75,42,9,17,1,51,337,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Collections\Hierarchy.cs,133,65,36,11,17,1,51,317,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Collections\SizedGrid.cs,183,96,53,11,20,1,67,431,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Entities\BackgroundTile.cs,41,34,20,0,7,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Entities\SolidTile.cs,45,37,21,0,8,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Entities\Tile.cs,27,22,18,0,5,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Extensions\ColorExtensions.cs,46,24,15,2,4,1,18,91,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Extensions\GameTimeExtensions.cs,39,17,8,2,4,1,18,92,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Extensions\ListExtensions.cs,33,18,9,1,2,1,13,68,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Extensions\NumericExtensions.cs,122,62,31,14,10,2,50,326,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Extensions\RectangleExtensions.cs,30,16,9,0,2,1,12,48,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Extensions\SpriteBatchExtensions.cs,159,68,44,1,15,1,76,441,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Extensions\StringExtensions.cs,112,58,31,7,9,1,45,284,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Extensions\Texture2DExtensions.cs,50,32,21,5,5,1,13,49,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Extensions\TypeExtensions.cs,68,41,22,11,8,1,19,93,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Extensions\Vector2Extensions.cs,299,143,76,33,34,2,122,774,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Graphics\AnimatedGraphicsObject.cs,470,267,156,28,49,2,154,889,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Graphics\BitmapFont.cs,152,78,47,6,21,1,53,263,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Graphics\ComplexGraphicsObject.cs,371,228,135,23,34,1,109,599,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Graphics\CroppedTextureMetadata.cs,38,17,10,0,3,1,18,80,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Graphics\GraphicsManager.cs,169,104,67,17,22,1,43,275,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Graphics\IGraphicsObject.cs,73,22,17,0,9,1,42,222,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Graphics\StaticGraphicsObject.cs,184,93,54,7,18,1,73,370,0,1
